name,host,survey,m_g,g_r,converted_from_gi,dist_mpc,dist_sbf_mpc
dw0508m3808,NGC1808,ELVES (Carlsten+22),16.82,0.5700000000000003,False,9.29,10.12
NGC1827,NGC1808,ELVES (Carlsten+22),12.73,0.4900000000000002,False,9.29,
dw0848p3226,NGC2683,ELVES (Carlsten+22),20.01,0.7100000000000009,False,9.4,7.3
dw0852p3347,NGC2683,ELVES (Carlsten+22),16.37,0.33000000000000185,False,9.4,
dw0853p3318,NGC2683,ELVES (Carlsten+22),18.4,0.379999999999999,False,9.4,10.46
dw0855p3336,NGC2683,ELVES (Carlsten+22),18.7,0.5500000000000007,False,9.4,8.72
dw0855p3333,NGC2683,ELVES (Carlsten+22),16.68,0.5700000000000003,False,9.4,8.51
dw0856p3155,NGC2683,ELVES (Carlsten+22),18.95,0.5700000000000003,False,9.4,9.11
dw0929p2213,NGC2903,ELVES (Carlsten+22),20.59,0.41999999999999815,False,9.0,9.83
dw0930p1959,NGC2903,ELVES (Carlsten+22),16.65,0.36999999999999744,False,9.0,9.04
dw0930p2143,NGC2903,ELVES (Carlsten+22),18.96,0.240000000000002,False,9.0,8.58
dw0932p1952,NGC2903,ELVES (Carlsten+22),19.33,0.5799999999999983,False,9.0,7.99
UGC5086,NGC2903,ELVES (Carlsten+22),15.74,0.5899999999999999,False,9.0,8.67
dw0933p2030,NGC2903,ELVES (Carlsten+22),17.39,0.46000000000000085,False,9.0,9.38
dw0936p2135,NGC2903,ELVES (Carlsten+22),17.84,0.4400000000000013,False,9.0,8.19
dw1000m0741,NGC3115,ELVES (Carlsten+22),17.46,0.5899999999999999,False,10.2,8.92
dw1000m0821,NGC3115,ELVES (Carlsten+22),15.87,0.5800000000000001,False,10.2,9.29
dw1000m0831,NGC3115,ELVES (Carlsten+22),20.3,0.5300000000000011,False,10.2,11.35
dw1001m0631,NGC3115,ELVES (Carlsten+22),15.7,0.33000000000000007,False,10.2,
dw1001m0814,NGC3115,ELVES (Carlsten+22),14.82,0.40000000000000036,False,10.2,
dw1002m0818,NGC3115,ELVES (Carlsten+22),20.09,0.5899999999999999,False,10.2,10.7
dw1002m0642,NGC3115,ELVES (Carlsten+22),21.0,0.46000000000000085,False,10.2,9.25
dw1004m0737,NGC3115,ELVES (Carlsten+22),18.92,0.5,False,10.2,10.79
dw1004m0657,NGC3115,ELVES (Carlsten+22),19.1,0.5700000000000003,False,10.2,8.75
dw1005m0744,NGC3115,ELVES (Carlsten+22),15.73,0.5999999999999996,False,10.2,
dw1005m0758,NGC3115,ELVES (Carlsten+22),13.03,0.7099999999999991,False,10.2,
dw1006m0730,NGC3115,ELVES (Carlsten+22),18.43,0.6099999999999994,False,10.2,10.18
dw1006m0732,NGC3115,ELVES (Carlsten+22),19.17,0.5400000000000027,False,10.2,10.52
