dw0930p2143    NGC2903 142.6666  21.7240  20.35 0.12  20.63 0.21 AIS_192_1_40
dw0932p1952    NGC2903 143.0991  19.8754 >21.63      >21.53      AIS_192_1_57
UGC5086        NGC2903 143.2034  21.4656  19.87 0.07  22.04 0.46 NGA_NGC2903
dw0933p2030    NGC2903 143.3069  20.5152  20.20 0.17  21.32 0.62 AIS_192_1_51
dw0936p2135    NGC2903 144.0891  21.5993  20.51 0.06  21.05 0.10 NGA_LSBC_F565
NGC2976        M81     146.8146  67.9164  12.84 0.05  13.28 0.05 NGA_NGC2976
IC2574         M81     157.1413  68.4328  12.43 0.05  12.55 0.05 NGA_IC2574
ddo82          M81     157.6524  70.6183  15.69 0.05  16.58 0.05 GI1_047041_UGC05692
kdg61          M81     149.2612  68.5917  18.90 0.10 >21.25      GI2_024001_NGC3077_Stream
BK5N           M81     151.1679  68.2556  20.79 0.18  21.44 0.44 GI3_061018_UGC05442
IKN            M81     152.0246  68.3992  18.42 0.17 >20.19      NGA_NGC3077
FM1            M81     146.2917  68.7650  19.78 0.05 >22.30      GI2_024002_NGC2976_stream
kdg64          M81     151.7579  67.8275  18.31 0.05 >21.59      GI3_061018_UGC05442
f8d1           M81     146.1962  67.4386  18.75 0.14 >20.19      GI3_061016_KK77
d1014p68       M81     153.7325  68.7575  21.67 0.45 >21.95      NGA_NGC3077
KK77           M81     147.5417  67.5067  18.38 0.11  18.98 0.19 GI3_061016_KK77
kdg63          M81     151.2804  66.5550  18.40 0.07 >20.87      GI3_061017_UGC05428
d0958p66       M81     149.7021  66.8497  17.83 0.05  18.38 0.12 AIS_74_1_08
ddo78          M81     156.6163  67.6567  17.99 0.11 >19.22      AIS_118_1_80
d1028p70       M81     157.1654  70.2336  17.66 0.05  17.95 0.05 GI1_047041_UGC05692
d1041p70       M81     160.3200  70.1508 >21.25      >21.03      AIS_118_1_61
HS117          M81     155.3550  71.1161 >19.77      >19.58      AIS_118_1_43
d0944p71       M81     146.1433  71.4825  19.66 0.07 >21.73      NGA_HolmbergI
d0926p70       M81     141.6163  70.5067  19.94 0.14  20.33 0.15 GI1_005007_J092810p702308
HO1            M81     145.1346  71.1864  14.67 0.05  14.82 0.05 NGA_HolmbergI
d0934p70       M81     143.5154  70.2158  20.96 0.19 >21.43      GI1_005007_J092810p702308
dw1000m0741    NGC3115 150.0039  -7.6875 >22.60      >22.69      WDST_GD_108
dw1000m0821    NGC3115 150.0436  -8.3574  19.83 0.33 >20.21      AIS_315_1_89
dw1000m0831    NGC3115 150.2289  -8.5305  21.35 0.72 >21.49      AIS_315_1_96
dw1001m0631    NGC3115 150.3901  -6.5249  17.51 0.05  17.74 0.05 GI1_009005_HPJ1001m06
dw1001m0814    NGC3115 150.4092  -8.2487  17.43 0.05  18.02 0.10 AIS_315_1_88
dw1002m0642    NGC3115 150.6570  -6.7083 >23.56      >23.69      GI1_009005_HPJ1001m06
dw1004m0737    NGC3115 150.9948  -7.6409 >21.97      >21.90      NGA_NGC3115
dw1004m0657    NGC3115 151.1572  -6.9585  21.89 0.53 >22.16      NGA_NGC3115
