0266-51630-100 146.00779 -00.64227 J094401.87-003832.1
0267-51608-384 147.47559 +00.61629 J094954.14+003658.4
0270-51909-306 152.14978 -00.67685 J100835.94-004036.5
0272-51941-365 155.77916 +01.00606 J102307.00+010021.8
0275-51910-429 161.23336 +00.74262 J104456.00+004433.4
0275-51910-445 161.47824 +01.06829 J104554.77+010405.8
0276-51909-197 163.20268 +00.03448 J105248.63+000204.0
0279-51984-293 168.23431 -00.90986 J111256.23-005435.4
0282-51658-029 175.05514 -00.41167 J114013.23-002442.2
0284-51943-007 178.99671 -01.00032 J115559.21-010001.0
0284-51943-170 178.19797 -00.66879 J115247.51-004007.6
0287-52023-236 183.01382 -00.60603 J121203.30-003621.8
0287-52023-466 183.06137 +00.07231 J121214.73+000420.2
0289-51990-210 186.59461 -01.25345 J122622.71-011512.2
0289-51990-369 186.08219 +01.09986 J122419.72+010559.4
0294-51986-334 195.66995 +01.07414 J130240.78+010426.8
0301-51942-345 208.18630 +00.13144 J135244.70+000753.1
0301-51942-360 208.15357 +00.02249 J135236.85+000120.9
0305-51613-604 217.72297 +00.46287 J143053.51+002746.2
0308-51662-081 222.02242 -01.18270 J144805.37-011057.6
0308-51662-326 220.45215 +00.69114 J144148.50+004128.0
0309-51994-288 222.94575 -00.94549 J145146.97-005643.7
0312-51689-508 229.35775 -00.13485 J151725.86-000805.5
0329-52056-529 177.07581 -01.63996 J114818.18-013823.7
0329-52056-633 178.15495 -02.46944 J115237.19-022809.9
0329-52056-640 177.88897 -02.37278 J115133.34-022221.9
0334-51993-065 187.95008 -02.97023 J123147.97-025813.6
0334-51993-365 186.59411 -01.25501
0335-52000-385 188.65124 -02.12275 J123436.29-020721.8
0336-51999-289 190.49726 -03.66734 J124159.34-034002.4
0336-51999-414 190.82681 -01.46736 J124318.44-012802.6
0337-51997-097 193.27487 -03.21637 J125305.97-031258.9
0337-51997-284 192.05679 -03.33271 J124813.65-031958.2
0339-51692-083 196.13444 -03.55614 J130432.27-033322.1
0340-51990-181 198.11060 -02.79138 J131226.54-024729.3
0341-51690-606 200.94775 -01.54776 J132347.46-013252.0
0351-51780-037 258.97568 +61.36106 J171554.15+612139.8
0351-51780-178 255.79037 +61.46040 J170309.66+612737.4
0354-51792-098 261.81678 +60.00838 J172716.01+600030.2
0358-51818-311 261.15888 +56.47742 J172438.13+562838.8
0358-51818-472 262.27732 +56.88868 J172906.56+565319.4
